"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","aspect","time_since","burnsev","count_v2","prop_area","area_ha","strata_nm","grove_name","grovearea_ha","unit_name","grove","Ease.of.Access","geometry"
"46","Site-106","Over","Next",-118.719589836927,36.3068993051692,"None",138694.464133713,0.000007210093108,"None","NW_E","under5","Low","one",0.07,388.344499574397,"NW_E-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(114827.530765275, -189238.970748283)
"47","Site-29","Over","Next",-118.696627458148,36.3105105333359,"None",121093.480591319,0.000008258082889,"None","NW_E","under5","Unburned","none",0.06,290.624353419165,"NW_E-under5-Unburned-none","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(116881.157867059, -188809.648104279)
"48","Site-77","Over","Next",-118.693684543661,36.3090954150299,"None",121093.480591319,0.000008258082889,"None","NW_E","under5","Unburned","none",0.06,290.624353419165,"NW_E-under5-Unburned-none","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(117147.216486135, -188963.257119623)
"49","Site-04","Base","None",-118.702953776049,36.2998848364841,"None",559433.817746718,0.000001787521541,"None","SE_W","under5","High","one",0.05,223.773527098687,"SE_W-under5-High-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(116330.028308988, -189998.103955943)
"50","Site-08","Over","Next",-118.705062115139,36.3008985580503,"None",559433.817746718,0.000001787521541,"None","SE_W","under5","High","one",0.05,223.773527098687,"SE_W-under5-High-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(116139.407894562, -189888.049208361)
"51","Site-12","Over","Next",-118.710795862892,36.296999794917,"None",559433.817746718,0.000001787521541,"None","SE_W","under5","High","one",0.05,223.773527098687,"SE_W-under5-High-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(115631.086789426, -190328.268198689)
"52","Site-15","Over","Next",-118.731025754683,36.3160386955227,"None",559433.817746718,0.000001787521541,"None","SE_W","under5","High","one",0.05,223.773527098687,"SE_W-under5-High-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(113788.422783308, -188237.227994633)
"53","Site-16","Over","Next",-118.715438388566,36.3158692983081,"None",559433.817746718,0.000001787521541,"None","SE_W","under5","High","one",0.05,223.773527098687,"SE_W-under5-High-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(115186.305822432, -188237.227994633)
"54","Site-001","Base","None",-118.696638031325,36.3008402649847,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(116894.982348599, -189884.173456377)
"55","Site-005","Base","None",-118.698169893585,36.3119202337541,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(116740.696243908, -188654.909144132)
"56","Site-009","Base","None",-118.699931055493,36.3095347466432,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(116586.410139217, -188922.140516359)
"57","Site-010","Base","None",-118.720079067653,36.298212037975,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(114796.691324798, -190204.851103049)
"58","Site-013","Base","None",-118.692108360674,36.3041569185324,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(117296.126220797, -189510.049535259)
"59","Site-014","Base","None",-118.709867955131,36.312049283828,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(115691.550732007, -188654.909144132)
"60","Site-017","Base","None",-118.699742296377,36.3003936693225,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(116617.267360155, -189937.619730822)
"61","Site-021","Base","None",-118.700889710226,36.3138743320801,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(116493.838476402, -188441.12404635)
"62","Site-022","Base","None",-118.716526143587,36.3049072536952,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(115105.263534181, -189456.603260813)
"63","Site-025","Base","None",-118.694680063318,36.314767496246,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(117049.268453291, -188334.231497459)
"64","Site-026","Base","None",-118.715340637275,36.314033242895,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(115197.835196995, -188441.12404635)
"65","Site-030","Base","None",-118.713725400511,36.3077626071109,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(115352.121301687, -189135.925614141)
"66","Site-033","Base","None",-118.702510673507,36.2994622816878,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(116370.409592649, -190044.512279713)
"67","Site-037","Base","None",-118.701995352587,36.3095575739047,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(116401.266813587, -188922.140516359)
"68","Site-038","Base","None",-118.720062979136,36.2991738614441,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(114796.691324798, -190097.958554158)
"69","Site-041","Base","None",-118.69140386105,36.3051110723599,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(117357.840662673, -189403.156986368)
"70","Site-042","Base","None",-118.718541993609,36.3078152487764,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(114920.120208551, -189135.925614141)
